distance,id,fullName,degree
2.19197253762873,8450817,Mike Ricci,171
3.0533403749669925,8447961,Martin Hostak,7
3.1444415104304198,8449776,Patrick Murray,5
2.133350937417481,8451774,Mats Sundin,198
2.0607340903089515,8449895,Owen Nolan,234
2.0897808291523634,8447958,Bobby Holik,218
2.523369421705836,8445655,Greg Brown,34
2.91708476366517,8445738,Francis Breault,8
2.4642196989701612,8450812,Steven Rice,65
2.266437813572749,8448543,Frantisek Kucera,138
1.9712173224188012,8451359,Mike Sillinger,393
2.3319250066015313,8447071,Johan Garpenlov,130
2.6472141536836546,8446455,Per Djoos,17
2.0844996039081067,8446788,Sergei Fedorov,202
2.293636123580671,8446133,Zdeno Ciger,108
2.090573012939002,8451972,Scott Thornton,238
2.114074465275944,8445413,Drake Berehowsky,224
2.2511222603644043,8446485,Kris Draper,108
2.376023237391075,8446213,Mike Craig,81
2.3984684446791658,8448542,Robert Kron,100
2.4668603115922894,8451827,Tim Sweeney,89
2.240823871138104,8449295,Stephane Matteau,136
2.578030102983892,8451657,Paul Stanton,38
1.9281753366781094,8448208,Jaromir Jagr,425
2.0963823607076844,8445575,Peter Bondra,196
2.6126221283337734,8449136,Dave Marcinyshyn,20
2.72880908370742,8452444,Robert Wilkie,17
2.245048851333509,8450550,Keith Primeau,154
2.542117771322947,8451290,Jeff Serowik,33
2.437813572748878,8451291,Anatoli Semenov,91
2.087404277792448,8449807,Petr Nedved,269
2.2825455505677317,8451392,Jarrod Skalde,115
2.7929759704251387,8449632,Jason Miller,8
2.245576973857935,8450767,Robert Reichel,148
2.321890678637444,8446305,Jeff Daniels,103
2.8104040137311856,8446126,Rene Chapdelaine,12
3.0071296540797463,8445201,Bob Babcock,2
2.5434380776340113,8450089,Jim Paek,43
2.4589384737259046,8452148,Dennis Vial,70
2.9088988645365723,8450197,Gregory Parks,6
3.747821494586744,8445814,John Byce,2
2.890678637443887,8445195,Jergus Baca,5
2.5524161605492472,8445438,Jean Claude Bergeron,40
2.723791919725376,8449401,Michael McNeil,16
2.1180353842091364,8445176,Donald Audette,211
3.8801161869553735,8449115,George Maneluk,2
2.581462899392659,8451840,Mikhail Tatarinov,34
3.0781621336149985,8450624,John Purves,2
2.8806443094797993,8448778,Daniel Lorenz,8
3.4375495114866648,8451628,Tomas Srsen,1
3.4856086612094006,8451140,Joel Savage,2
2.1433852653815686,8447687,Dominik Hasek,155
2.2828096118299444,8452161,Garry Valk,161
2.944547134935305,8447450,David Haas,10
2.176392923158173,8451093,Joe Sacco,179
2.974386057565355,8445489,Tom Bissett,4
2.7108529178769474,8450890,Mario Roberge,25
3.1634539213097437,8446718,Kevin Evans,5
2.687879588064431,8449939,Myles O'Connor,18
2.5249537892791127,8446415,Gilbert Dionne,49
2.371006073409031,8445202,Jamie Baker,100
3.523105360443623,8451175,Jiri Sejba,1
2.9627673620279906,8447162,Don Gibson,5
2.175600739371534,8449961,Gino Odjick,167
2.245576973857935,8446675,Nelson Emerson,179
2.321362556113018,8451059,Darren Rumble,103
2.2968048587272247,8450357,Michel Picard,108
3.0831792975970425,8449400,Steve McKichan,4
2.3559545814628993,8447383,Mark Greig,83
2.811460258780037,8451381,Martin Simard,11
2.860575653551624,8448676,Jeffrey Lazaro,16
3.4375495114866648,8452238,Igor Viazmikin,1
2.684710852917877,8448987,Pat MacLeod,28
2.2970689199894374,8447363,Alexei Gusarov,122
2.2653815685238974,8448484,Dmitri Khristich,148
3.0385529442830737,8448777,Kenneth Lovsin,2
2.9149722735674675,8451718,Shayne Stevenson,8
2.894111433852654,8450889,Serge Roberge,6
2.170847636651703,8448674,Claude Lapointe,207
3.280433060470029,8449029,Jeff Madill,2
2.5096382360707685,8450504,Marc Potvin,55
3.028254555056773,8451261,Steve Seftel,3
2.5373646686031157,8448675,Chris Luongo,56
2.9630314232902033,8447005,David Gagnon,5
2.3818325851597573,8448419,Dan Keczmer,94
2.1164510166358594,8445739,Patrice Brisebois,178
3.0963823607076844,8447079,Luc Gauthier,2
2.918669131238447,8448499,Scott King,8
2.7847900712965408,8448776,David Littman,7
2.6794296276736205,8448482,Gordon Kruppke,16
2.386321626617375,8446134,Frederic Chabot,69
3.7808291523633484,8446368,Matt Delguidice,2
2.9511486664906257,8446937,Norman Foster,6
3.662529706891999,8445254,Ralph Barahona,4
2.624240823871138,8451152,Reginald Savage,25
2.5162397676260895,8447247,Alexander Godynyuk,60
2.1531555320834435,8449633,Kip Miller,215
2.4370213889622394,8445017,Shawn Antoski,66
2.4684446791655663,8451849,Chris Tancill,56
2.1705835753894904,8452147,Shaun Van Allen,175
3.191708476366517,8445065,William Armstrong,1
2.592817533667811,8448775,Patrick Lebeau,30
2.7890150514919463,8446250,Dan Currie,10
2.6672828096118297,8449399,William McDougall,16
2.253762872986533,8451805,Ken Sutton,131
3.0433060470029045,8445753,Richard Brown,2
2.16213361499868,8448622,John LeClair,181
2.5460786902561394,8458020,Gary Shuchuk,51
2.9379456033799842,8455833,Brian Chapman,3
3.0895167678901507,8449451,Ross McKay,1
2.638764193292844,8455659,Luciano Borsato,27
2.301293900184843,8457791,Damian Rhodes,133
2.960654871930288,8457185,Bruce Major,4
2.485344599947188,8458300,Dennis Vaske,58
3.0805386849749143,8456008,Kimbi Daniels,6
2.8872458410351203,8457971,Scott Scissons,7
2.056773171375759,8457921,Geoff Sanderson,303
2.900712965407975,8457800,Todd Richards,5
2.736994982836018,8456956,Dan Lambert,14
2.2601003432796407,8456903,Paul Kruse,131
2.236334829680486,8457491,Sergei Nemchinov,138
2.011354634275152,8458361,Doug Weight,310
2.118827567995775,8455429,Tony Amonte,213
2.4916820702402958,8457640,Robert Pearson,58
2.2318457882228677,8457063,Nicklas Lidstrom,119
2.5571692632690786,8456870,Vladimir Konstantinov,33
2.0213889622392394,8457261,Brad May,291
2.529442830736731,8456874,Dan Kordic,50
2.5743332453129124,8458507,Peter Ahola,37
2.104304198574069,8455521,Stu Barnes,205
2.565619223659889,8457847,Russell Romaniuk,41
3.0118827567995776,8456288,Thomas Forslund,10
2.630842355426459,8457589,Mark Osiecki,34
2.8339054660681278,8458434,Christopher Winnes,21
3.166358595194085,8457824,Robert Robinson,2
2.0739371534195934,8458524,Martin Lapointe,204
2.247425402693425,8458516,Pat Falloon,153
2.676789015051492,8458652,Andrei Lomakin,36
2.7398996567203593,8458564,Yanick Dupre,25
2.024029574861368,8458172,Darryl Sydor,285
2.259836282017428,8455575,Josef Beranek,147
2.8310007921837865,8455949,Edward Courtenay,21
2.9086348032743596,8458808,Mikhail Kravets,10
2.264853445999472,8456031,Louie Debrusk,141
2.5033007657776603,8456080,Paul Di Pietro,60
2.1433852653815686,8456531,Derian Hatcher,183
2.5743332453129124,8449453,Ryan McGill,46
2.0947979931344074,8458517,Scott Niedermayer,174
2.2909955109585423,8457866,Dominic Roussel,115
2.038024821758648,8456283,Adam Foote,228
2.895695801425931,8456254,Peter Fiorentino,4
